"Date: 20/10/2019 22h29"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Chocolat crémant 55 % amarru 100g","3.40 CHF/100 grammes",1.00,3.40
"Epicerie Bio Bois-Genoud","Chou rouge fermenté","7.00 CHF/340g",1.00,7.00
"Epicerie Bio Bois-Genoud","Cocktail de légumes fermentés","7.00 CHF/340 g",1.00,7.00
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",7.00,12.60
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","1.00 CHF/100g",10.00,10.00
"Epicerie Bio Bois-Genoud",Noisettes,"3.00 CHF/100g",1.00,3.00
"Epicerie Bio Bois-Genoud","Purée de tomate naturata 400g ","3.10 CHF/Pièce",1.00,3.10
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",6.00,6.60
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",10.00,6.00
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",4.00,18.00
"Ferme Bois genoud",Ail,"1.60 CHF/100g",5.00,8.00
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",8.00,2.80
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",2.00,0.80
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",12.00,4.80
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",8.00,2.80
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",11.00,7.70
"Ferme Bois genoud","Chou pointu","0.55 CHF/100g",10.00,5.60
"Ferme Bois genoud",Citron,"0.50 CHF/100g",1.00,0.50
"Ferme Bois genoud",Dates,"1.00 CHF/100 g",7.00,7.00
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",2.00,1.10
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",7.00,2.45
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",12.00,5.05
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",22.00,11.45
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",3.00,13.80
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",4.00,10.60
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 500g (long)","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 250g","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",1.00,3.10
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",18.00,23.40
"Ferme de Coinsins","Lentille (verte)","1.30 CHF/100 g",10.00,13.00
"Ferme de Coinsins","Lentilles Beluga (noire)","1.30 CHF/100g",10.00,13.00
