"Date: 24/11/2019 23h51"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Cocktail de légumes fermentés","7.00 CHF/340 g",1.00,7.00
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",8.00,5.60
"Epicerie Bio Bois-Genoud","Mélange de Noix","4.70 CHF/100g",1.00,4.70
"Epicerie Bio Bois-Genoud","Müsli classique","1.20 CHF/100g",8.00,9.60
"Epicerie Bio Bois-Genoud",Noisettes,"3.00 CHF/100g",2.00,6.00
"Epicerie Bio Bois-Genoud","Pâtes (Penne)","0.70 CHF/100g",6.00,4.20
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",5.00,5.50
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",16.00,9.60
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",18.00,16.20
"Ferme Bio Les Sapins",Poires,"4.60 CHF/1kg",4.00,18.40
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",3.00,13.50
"Ferme Bois genoud",Ail,"1.60 CHF/100g",1.00,1.60
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",5.00,1.75
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",2.00,0.80
"Ferme Bois genoud","Carottes bio","0.30 CHF/100 grammes",54.00,16.20
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",4.00,1.40
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",4.00,1.70
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",4.00,2.80
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",4.00,2.25
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",18.00,6.30
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",15.00,6.30
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",20.00,10.40
"Ferme Bois genoud","Pomme de terre Agria (farineuse)","1.20 CHF/500 grammes",3.00,3.60
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud",Rutabaga,"0.35 CHF/100 grammes",5.00,1.75
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme Bois genoud","Salade  balla rossa","0.55 CHF/100 g",2.00,1.10
"Ferme Bois genoud","Salade Scarole (frisée)","2.20 CHF/Pièce",1.00,2.20
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",1.00,3.35
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 250g","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",2.00,6.20
