"Date: 04/10/2020 21h25"
Fournisseur,Produit,"Par unité",Quantité,Total
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",1.00,4.50
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",14.00,6.70
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",6.00,2.90
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",3.00,1.90
"Ferme Bois genoud",Citron,"0.50 CHF/100g",7.00,3.35
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",2.00,1.05
"Ferme Bois genoud",Echalottes,"0.65 CHF/100 grammes",6.00,3.85
"Ferme Bois genoud",Oignons,"0.50 CHF/100 grammes",5.00,2.40
"Ferme Bois genoud","Oignons doux","0.50 CHF/100 grammes",2.00,0.95
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",2.00,3.00
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",14.00,7.30
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",5.00,6.00
"Ferme Bois genoud","Pommes de terre (bleu de St. Gall)","1.60 CHF/500 g",2.00,3.20
"Ferme Bois genoud","Salade  balla rossa","0.65 CHF/100 g",5.00,3.20
"Ferme Bois genoud","Salade d'été","1.50 CHF/pièce",2.00,3.00
"Ferme Bois genoud",Tomates,"0.50 CHF/100 grammes",20.00,9.60
