"Date: 28/10/2019 07h25"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",15.00,10.50
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",6.00,9.00
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","1.00 CHF/100g",6.00,6.00
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",1.00,1.50
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud",Ail,"1.60 CHF/100g",1.00,1.60
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",22.00,8.80
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",4.00,1.40
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",3.00,1.25
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",13.00,9.10
"Ferme Bois genoud","Chou pointu","0.55 CHF/100g",1.00,0.55
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",15.00,5.25
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",33.00,13.85
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",1.00,1.50
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",12.00,6.25
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",1.00,4.60
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",1.00,2.65
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 250g ","1.55 CHF/Pièce",1.00,1.55
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",1.00,3.10
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",5.00,6.50
"Ferme de Coinsins","Lentille (verte)","1.30 CHF/100 g",6.00,7.80
