"Date: 15/12/2019 23h21"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Clémentines demeter","0.60 CHF/100 grammes",10.00,6.00
"Epicerie Bio Bois-Genoud","Earl Grey (thé en vrac)","9.00 CHF/100g",1.00,9.00
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",5.00,3.50
"Epicerie Bio Bois-Genoud","Mélange de Noix","4.70 CHF/100g",3.00,14.10
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",4.00,6.00
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",4.00,2.40
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",12.00,10.80
"Ferme Bio Les Sapins",Poires,"4.60 CHF/1kg",1.00,4.60
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",2.00,0.80
"Ferme Bois genoud","Carottes bio","0.30 CHF/100 grammes",6.00,1.80
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",4.00,1.40
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",4.00,1.70
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",7.00,2.45
"Ferme Bois genoud","Pomme de terre Agria (farineuse)","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme St-Barthélémy","Pain de campagne bio bourgeon 1000g (moulé)","4.85 CHF/Pièce",1.00,4.85
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 500g (long)","3.10 CHF/Pièce",1.00,3.10
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",8.00,10.40
