"Date: 06/12/2020 20h50"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",5.00,9.00
"Epicerie Bio Bois-Genoud","Lentilles Beluga (noire)","1.30 CHF/100g",4.00,5.20
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",10.00,15.00
"Epicerie Bio Bois-Genoud",Noix,"4.00 CHF/100g",2.00,8.00
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",16.00,9.60
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",1.00,4.50
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",1.00,4.50
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",7.00,2.45
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",10.00,4.80
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",6.00,2.90
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",10.00,4.80
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",8.00,5.10
"Ferme Bois genoud",Clémentines,"0.45 CHF/100 grammes",20.00,9.00
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",1.00,3.50
"Ferme Bois genoud","Courge butternut (env. 2.5kg)","12.00 CHF/Pièce",1.00,12.00
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",5.00,1.75
"Ferme Bois genoud","Oignons doux","0.50 CHF/100 grammes",2.00,0.95
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",10.00,5.20
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud","Salade d'été","1.50 CHF/pièce",3.00,4.50
"Ferme Bois genoud","Salade pain sucre","0.55 CHF/100g",2.00,1.10
